City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avera,US,2023-01-03 15:08:22,33.194,-82.5271,60.39,76,93,10.38
68,Kahului,US,2023-01-03 15:08:23,20.8947,-156.47,72.84,92,75,4.0
69,Arraial Do Cabo,BR,2023-01-03 15:08:23,-22.9661,-42.0278,85.86,58,0,19.57
70,Tevaitoa,PF,2023-01-03 15:08:24,-16.7833,-151.5,80.67,76,100,17.02
71,Hovd,MN,2023-01-03 15:08:24,48.0056,91.6419,-3.82,90,98,2.04
72,Basco,PH,2023-01-03 15:08:25,20.4487,121.9702,75.67,71,79,21.94
73,Ngunguru,NZ,2023-01-03 15:08:09,-35.6167,174.5,65.86,90,100,24.65
74,Saryozek,KZ,2023-01-03 15:08:25,44.3583,77.9753,26.19,89,100,5.3
75,Barentu,ER,2023-01-03 15:08:26,15.1139,37.5928,82.85,37,14,12.57
76,Kapaa,US,2023-01-03 15:08:26,22.0752,-159.319,73.38,92,100,6.91
77,Maragogi,BR,2023-01-03 15:08:27,-9.0122,-35.2225,83.98,62,99,11.48
78,Grand Gaube,MU,2023-01-03 15:08:27,-20.0064,57.6608,82.8,64,30,5.99
79,Canmore,CA,2023-01-03 15:08:12,51.0834,-115.3521,13.82,75,46,7.14
80,Gizo,SB,2023-01-03 15:08:28,-8.103,156.8419,81.55,80,95,11.9
81,Mayo,US,2023-01-03 15:08:28,38.8876,-76.5119,61.61,89,40,9.22
82,Saint George,US,2023-01-03 15:07:33,37.1041,-113.5841,38.43,89,100,3.44
83,Arruda Dos Vinhos,PT,2023-01-03 15:08:29,38.9841,-9.0775,61.59,58,14,7.38
84,Nishihara,JP,2023-01-03 15:08:30,26.1842,127.7558,60.08,82,100,14.97
85,Yerbogachen,RU,2023-01-03 15:08:30,61.2767,108.0108,2.48,95,100,7.31
86,Hasaki,JP,2023-01-03 15:08:30,35.7333,140.8333,33.22,49,0,8.12
87,Port Elizabeth,ZA,2023-01-03 15:08:31,-33.918,25.5701,81.1,56,21,5.93
88,Hobart,AU,2023-01-03 15:08:31,-42.8794,147.3294,55.26,75,100,2.3
89,Lompoc,US,2023-01-03 15:04:19,34.6391,-120.4579,50.14,95,0,3.44
90,Laguna,US,2023-01-03 15:08:32,38.421,-121.4238,47.17,95,100,8.05
91,Huarmey,PE,2023-01-03 15:08:32,-10.0681,-78.1522,72.43,79,100,6.89
92,Carutapera,BR,2023-01-03 15:08:34,-1.195,-46.02,82.69,75,44,8.25
93,Ancud,CL,2023-01-03 15:08:34,-41.8697,-73.8203,58.6,70,16,7.52
94,Shelburne,CA,2023-01-03 15:08:34,44.0787,-80.2041,34.23,99,100,7.54
